Equipment,Users
Pencil,"pw58, yh2984, pw1101, xh2367, yh2984, dh128, xw20, vn2111, yz8556, xy11, saw12, saw12, bl3406, yh2984, saw12, sl9464, sl9464, yw6412, jl12045, jl12045, jl12045, jl12045, xy11, saw12, saw12, yw6412, yw6412, xz33, sl9464, jl12067, jm3499, yc44, yc44, xy11, sl9464, yw6412, jm3499, xz33, jl12067, jl12067, xy11, bl3406, qtv203, qtv203, qtv203, yw6412, yh2984, yh2984, yw6412, xy11, xz33, bl3406, rc156, rc156, sl9464, jrj6, jm3499, xw20, xy11, sl9464, yw6412, yg2709, jm3499, xw20, yw6412, ag7338, cjh630, dh128, dh128, sl9464, jm3499, xy11, oj2019, oj2019, oj2019, bl3406, bl3406, yw6412, xy11, xy11, sl9464, jz4788, dh128, jz4788, yw6412, jm3499, jm3499, yw6412, yw6412, cjh630, sl9464, jz4788, yz8556, jm3499, xy11, xy11, ras622, yw6412, xz33, xz33, jm3499, yw6412, yw6412, qm2049, yz45, cjh630, sm8381, yz45, jz4788, eio1, wq3, wq3, wq3, wq3, kz22, yh2984, yh2984, yh2984, yh2984, xw20, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, yh2984, bl3406, bl3406, bl3406, rc156, rc156, rc156, rc156, rc156, sw141, sw141, wq3, wq3, bl3406, jm3499, yx2552, sl9464, wq3, dh128, wq3, yx2552, jm3499, ss17116, yh2984, tn2137, jac32, yp2489, yz9639, yz9639, zs2439, sm8381, sl9464, ss17116, jac32, tn2137, yp2489, zs2439, jac32, sl9464, sl9464, yz8556, sl3635, jm3499, mk8894, jac32, tn2137, yp2489, yp2489, yp2489, yp2489, zs2439, yh2984, jac32, tn2137, yp2489, yp2489, wjg3, wjg3, rc156, rc156, sl9464, nx224, sl9464, bl3406, nx224, myr1, jac32, yp2489, tn2137, tn2137, rc156, jac32, jac32, xh2117, jm3499, xz33, xz33, nx224, sl9464, sl9464, pw58, jm3499, zs2439, zs2439, wc54, dh128, dh128, sl9464, yz8556, yp2489, tn2137, zs2439, pw58, pw58, dh128, sl9464, sl9464, xl4178, yp2489, tn2137, zs2439, sl9464, bl3406"
iPad,"pw58, yh2984, pw1101, xh2367, yh2984, dh128, xw20, vn2111, yz8556, xy11, saw12, saw12, bl3406, yh2984, saw12, sl9464, sl9464, yw6412, jl12045, jl12045, jl12045, jl12045, xy11, saw12, saw12, yw6412, yw6412, xz33, sl9464, jl12067, jm3499, yc44, yc44, xy11, sl9464, yw6412, jm3499, xz33, jl12067, jl12067, xy11, bl3406, qtv203, qtv203, qtv203, yw6412, yh2984, yh2984, yw6412, xy11, xz33, bl3406, rc156, rc156, rc156, sl9464, jrj6, jm3499, xw20, xy11, sl9464, yw6412, yg2709, jm3499, xw20, yw6412, ag7338, cjh630, dh128, dh128, sl9464, jm3499, xy11, oj2019, oj2019, oj2019, bl3406, bl3406, yw6412, xy11, xy11, sl9464, jz4788, dh128, jz4788, yw6412, jm3499, yw6412, yw6412, cjh630, sl9464, jz4788, yz8556, jm3499, xy11, xy11, ras622, yw6412, xz33, xz33, jm3499, yw6412, yw6412, qm2049, yz45, cjh630, sm8381, yz45, jz4788, eio1, wq3, kz22, kz22, yh2984, yh2984, yh2984, bl3406, xw20, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, sh2995, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, bl3406, bl3406, bl3406, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, yh2984, rc156, rc156, rc156, rc156, rc156, yh2984, yh2984, yh2984, gc2377, gc2377, gc2377, gc2377, gc2377, gc2377, gc2377, gc2377, gc2377, gc2377, gc2377, gc2377, gc2377, gc2377, yh2984, wq3, wq3, bl3406, jm3499, yx2552, sl9464, wq3, dh128, wq3, yx2552, jm3499, ss17116, yh2984, tn2137, jac32, yp2489, yz9639, yz9639, zs2439, sm8381, kx244, kx244, kx244, kx244, kx244, sl9464, ss17116, jac32, tn2137, yp2489, zs2439, jac32, sl9464, sl9464, yz8556, sl3635, jm3499, wq3, yh2984, wq3, wq3, wq3, yh2984, mk8894, dh128, jac32, tn2137, yp2489, yp2489, yp2489, yp2489, zs2439, yh2984, jac32, tn2137, yp2489, yp2489, yh2984, yh2984, wjg3, ss9545, yh2984, wjg3, rc156, rc156, sl9464, nx224, sl9464, bl3406, bl3406, nx224, myr1, jac32, yp2489, tn2137, tn2137, rc156, jac32, jac32, ll3365, ll3365, xh2117, jm3499, xz33, xz33, nx224, sl9464, sl9464, pw58, jm3499, zs2439, zs2439, wc54, dh128, dh128, sl9464, yz8556, yp2489, tn2137, zs2439, pw58, pw58, dh128, sl9464, sl9464, xl4178, yp2489, tn2137, zs2439, zl34, sl9464, bl3406"
Old MacBook,"pw58, ywh250, ls4005, yl63, cyw353, jl12385, yl63, xj497, py12, yl63, yl63, dw2326, dw2326, yb958, yw44, sh177, zl34, sw135, sw135, lg3514, rw3007, rw3007, qw2208, mj96, kl3723, hw2934, djw8543, iro5182, hm91, hm91, bn628, rw3007, rw3007, zz3851, ll3365, rw3007, rw3007, zw1806, ls4005, yz5826, yz5826, yz5826, xx15, wq3, wq3, mz2392, rw3007, rw3007, rw3007, rw3007, yw44, my31, lx2071, kml708, zz1826, zl34, rd2982, rw3007, rw3007, rw3007, rw3007, wk2199, rw3007, rw3007, ll3365, amc9985, bz921, ch1419, myh1, myh1, myh1, rd2982, yr41, yh43, ds5665, xj7, rd2982, xj7, kml708, mz69, mz69, mz69, mz69, mz69, mz69, mz69, mz69, mz69, rw3007, rw3007, cs6890, ib1099, ps4384, db3696, ib1099, cs6472, db3696, jk6228, db3696, ib1099, jh6619, cs6472, iss6517, rw3007, rw3007, ib1099, sh177, sh177, db3696, ib1099, db3696, zq2080, ql13, jb6613, cs6472, db3696, ib1099, jk6228, ib1099, db3696, jk6228, db3696, rs7481, ys4965, xl2831, xl2831, jl10338, jl10338, jl10338, yw44, rd2982, jz71, ss9545, yw44, jl6861, zl39, jz86, ncb9094, jw8140, jw8140, xx15, xx15, ch4379, cs6472, cs6472, sl163, qz2, xx15, xx15, cs6472, fl780, cs6472, cs6472, cs6472, sl5257, cs6472, hz604, xj7, wq3, cs6472, hy2253, hy2253, yx2552, yx2552, jf4313, zl34, zl34, zl34, cs6472, anw248, anw248, anw248, ls4005, wc1133, sh177, qt2059, cs6472, my31, ys4965, ec4493, jf4313, lz1906, sl163, sl163, bw2455, bw2455, ssg9769, jf4043, mz69, cs6472, my31, nb3480, xs10, ww1559, yc58, yc58, zl34, yw4857, yw4857, yw4857, yw4857, xs10, nb3480, xx15, mx2121, mx2121, jrj6, ij498, mak25, yj12, nb3480, yd450, yd450, mx2121, mx2121, gcc9334, mx2121, nb3480, cs6472, mx2121, yh2984, rc156, nb3480, rc156, jl12619, hc3297, cab982, nb3480, nb3480, wz2533, wz2533, wz2533, bc3371, sh177, bc3371, dp102, bc3371, nb3480, nb3480, cw2461, yw4998, zz1826, zz1826, zz1826, yd2618, yd2618, yd2618, bc3371, bc3371, yl4208, nb3480, cw2461, cs6472, nb3480, nb3480, ll3365, bc3371, dc150, bc3371, yc5697, yc5697, ch1419, dx2102, bc3371, ch1419, cab982, nb3480, ml7183, yd2717, yd2717, wz746, wz746, bc3371, nb3480, bc3371, ksy8679, bc3371, yb943, pw58, pw58, ksy8679, xs10, yb943, nb3480, cab982, jh6619, jh6619, cab982, cs5069, nb3480, wrf5491, cab982, hc76, nb3480, cab982, cab982, hc76, jh6619, jh6619, yz9645, nb3480, cs5069, mi2230, nb3480, nb3480, yb943, qz2266, qz2266, yz9645, cs6472, ff2206, nb3480, nb3480, ff2206"
Tripods,"cx2054, cx2054, cx2054, ys68, ys68, ys68, ys68, ys68, ys68, ys68, ys68, zm800, sa4913, pw58, zz25, zz25, sl9805, zz25, cw94, cw94, mm6059, wq3, sx2072, sx2072, sx2072, jw7353, dw2730, sw141, zz3294, yx2769, yx2769, ls5772, ls5772, yz5826, zz3828, zz3828, ql11, yc5491, yl9331, sn3251, dw2730, ic1104, ic1104, ca2699, ca2699, ca2699, cs6472, cs6472, jf4268, jl12026, xh678, bs4477, bs4477, bs4477, wq3, jy39, jy39, wz2266, wz2266, wz2266, wz2266, dh128, qz775, qz775, wz2266, wz2266, xx9, wz2266, wz2266, cw3715, cw3715, xx9, cw3715, cw3715, zz2761, zz2761, zz2761, zz2761, zz2761, zz2761, zz2761, zz2761, zz2761, zz2761, zz2761, zz2761, wz2266, mjm639, mjm639, wz2266, wz2266, wz2266, wz2266, gmb367, fl51, ll3365, zw2375, sw4460, sw4460, sw4460, sw4460, jw7353, jw7353, ep2856, rb5202, rb5202, rb5202, rb5202, rb5202, rb5202, yj2440, yj2440, yj2440, ksw9579, eyx206, ys3982, sd5143, sd5143, sd5143, sx2170, gb2683, qz2376, sk10416, sk10416, yl10960, yl10960, yl10960, zn424, sk10416, sk10416, mz85, sk10416, sk10416, bh2643, bh2643, st115, jm10192, jm10192, rw3232, cw3899, yl9290, yb943, yb943, yb943, cw3715, jrj6, sl9094, yz5826, yz5826, yz5826, yl9290, rl4841"
Lens,"jx2395, jx2395, kz22, kz22, kz22, sl6895, sl6895, al7488, jl9642, jl9642, sl6895, sl6895, sl6895, avd8845, avd8845, avd8845, avd8845, hl3794, hl3794, mz2392, mz2392, avd8845, avd8845, qs2035, qs2035, sl6895, sl6895, sl6895, zl4256, sl6895, sl6895, sl6895, dw2730, sl6895, sl6895, sl6895, yx24, sl6895, sl6895, sl6895, yy2295, yy2295, yy2295, rd2982, rd2982, rd2982, rd2982, rd2982, rd2982, rd2982, sl163, sl163, sl163, jp3980, ll3365, ll3365, ll3365, ll3365, lx2127, yl10960, yl10960, yl10960, jh6619, bl3406, klc605, jz4060, jz4060, cs5069, cs5069, kw3052, kw3052, ep2856, ep2856, ep2856, ep2856, ep2856, eyx206, eyx206, eyx206, eyx206, kw3052, kw3052, lmm8682, lmm8682, rc3477, rc3477, rc3477, rc3477, cpt7990, yl9290, yl9290, yl9290, zh2422, xt2120, xt2120, bh2643, bh2643, xt2120, xt2120, mh6570, yl8397, yl8397, cw3899, cw3899, yl9290, yl9290, iw2119, iw2119, anw248, anw248, anw248, anw248, ss15404, wz2533, sd5143, sd5143, xs2334"
HardDrive,"yc71, xw20, jg149, ls4005, jg149, rc156, jg149, zz3844, xx15, mjm639, mjm639, sy45, jl12045, cf2784, cf2784, mjm639, wb48, sd140, ch4379, ncb9094, ncb9094, ncb9094, yz55, sd140, mrk5, yc79, yw7262, ys4965, yw7262, ny2116, ny2116, qz2, sw4460, xl3136, ql15, xh11, hg1593, kt1992, crj7458, yl10960, ql15, jy4195, sd140, xg2283, xy2464, xy2464, cp3570"
Card Reader,"jx2395, rc4332, rc4332, al7488, zq5, jl9642, jl9642, dw2730, zz3294, yx2769, zz3828, jl9642, ic1104, ca2699, ic1104, mz3252, cs6472, ic1104, zz4609, wl3042, mjm639, hm91, hm91, qz775, klc605, jz5755, jh6619, dc150, sk10416, jw8163, sx2170, jz5755, zw3632, ww2347, ww2347, ww2347, yl8872, jm10192, yl8397, qt2059, yt28, jz5755, xt2120, xt2120, xt2120, ll4755, ll4755, ll4755, qt2059, jrj6, jrj6, jrj6, jrj6, xl4178, jh6619, xt2120, ww2347, emc9895"
Charger,"yz8212, yz8212, ts98, cz16, cz16, dw2326, mz69, oj2019, my31, sw135, lg3514, kd2474, ts98, iss6517, jl12385, jl12385, jl12385, sw135, sl163, sl163, zz2761, jg149, yy2827, vn2111, rw3007, rw3007, jrj6, yz7242, jz3818, ch1419, jl9546, czo204, ys4451, jc8572, jl12045, jl12045, cw3613, yl5662, yz7242, yj2176, yl9326, ty2123, jx2325, ww2347, yz5160, yjl464, ys4451, zl4256, al7488, jy45, jy45, sw4460, ty2123, sw4460, zl4256, yz7242, jl12045, jx2138, yl7301, yjl464, rl3546, lc4564, jl12045, ty2123, jw7353, jl12045, wd2147, zl3660, zl4256, sbk8041, rc4332, wd2147, ba1484, wk2199, yjl464, wmd247, jx2138, pz2125, yh4368, xhw202, rw3007, rw3007, tz2310, tz2310, yl7301, sc8487, yh3733, mx669, mz3252, sy3414, rz2428, jc8572, rw3007, rw3007, kt1930, cc6790, jl12045, yz7242, jc8572, jl12067, kd2474, rw3007, lg3514, lg3514, lg3514, wd2147, cl6376, lc4564, ty2123, rc4332, wq3, yk2487, yk2487, yjl464, yy3685, sc8487, rz2428, yy2552, sw4460, jl12026, yq2196, jc8572, yl9326, cy2180, caj9849, my31, yz7242, jc8572, yx2782, ch1419, ys4451, jx2142, ww2347, sys8925, hz604, hz604, ty2123, mx669, rf2457, jl12045, yl7301, ch4379, yl9326, km5654, km5654, rw3007, rw3007, xl21, yz5026, awc374, czo204, jl12045, wmd247, wq3, qh2044, xt2120, jl12045, wq3, wq3, sf3601, cy2180, wq3, wq3, jc8572, yy2295, jx2142, cc6790, qm2017, oj2019, tal9565, yz5026, zq2112, rl3546, lh3312, jx2138, km5654, xm623, tz2147, xw23, yg1822, qh2044, jjf8900, jg7012, yjl464, jw7353, lh3312, zw2818, wk2199, jx2142, lc4564, mx669, wc1133, wc1133, wc1133, wc1133, ky2260, jl12045, zq2112, jl12045, yw5315, jc8572, yjl464, rd2982, rl3679, sf3598, zl4256, rw3007, rw3007, rw3007, jx981, yl7304, xj7, sc8487, yjl464, zl3660, yw6412, zz1989, zl3660, yl9326, zl3660, dd3022, cjw8995, sz3299, jc8572, rc4332, zl4242, qh2044, zl4256, cc6790, yz4867, yz4867, mx669, fl51, yjl464, cm4891, jl12385, jl12385, cx2054, jl12045, sc8487, ttl9317, al7488, cz1966, qh2044, jc8572, yc4300, zl3660, jx981, phl5554, kh3619, sl163, sl163, yz7147, lgr9216, lgr9216, yx24, yx24, yx24, yx2436, lh3312, yl7304, qh2044, ek3479, rd2982, lgr9216, yr41, ty2123, ps4384, ps4384, tn1175, yh43, ty2123, ds5665, jc8572, xj7, rd2982, jl12045, xj7, gy2062, yjl464, cc6790, qh2044, xz3675, rs7481, yf2289, ceh530, ml6808, et71, lh3312, rw3007, rw3007, ib1099, hd2159, hd2159, qh2044, db3696, ty2123, jc8572, jk6228, jl12045, db3696, lc4564, rw3007, rw3007, ml6808, ib1099, kw2223, jc8572, cx592, yjl464, yl5728, qh2044, ib1099, ecs555, sh177, sh177, db3696, lh3312, ty2123, ib1099, eld9958, db3696, ch4379, ch4379, qh2044, ml6808, zq2080, bmk11, yjl464, jl12067, fs2328, vro2005, tz2310, jc8572, yf2147, db3696, ib1099, jk6228, yl7304, yy2552, jx981, jx981, cl6376, jl12045, jl12045, ib1099, sf3598, db3696, jx2135, jk6228, qm2017, zd2142, lc4564, lh3312, qw2208, jf4500, db3696, jc8572, ch1419, zc18, yjl464, jl12045, wq3, yz45, yz45, klc605, tz8, tz8, yw6167, yt2190, dh128, dp949, dp949, dp949, dp949, dp949, eio1, xl2567, xl2567, ys4965, ys4965, xl2831, wq3, jl10338, kz22, kz22, sy53, dc150, ncb9094, aa7676, yl1135, yl1135, rd2982, rd2982, hf58, aa7676, zl39, sd140, yz6201, jc8572, aa7676, lm167, aa7676, jg5611, jg5611, yz74, sh2995, sh2995, tx561, dc150, ls6200, qz2, sx2170, yz74, sx2170, jm5518, jm5518, sw4460, sx2170, jm5518, jm5518, tz11, yh1694, yh1694, sd140, sw4460, caj9849, yz4510, jy56, jy56, xd7, caj9849, ttl9317, gc2377, gc2377, ry13, ql13, caj9849, xj7, xs10, al7488, ras622, yz74, ys68, jm3499, hy2253, hy2253, hy2253, hy2253, yz74, yz8297, cc6731, ht2293, jh7956, dc150, cy2180, hz2287, ht2293, caj9849, yl7002, sx2170, zw2375, al5448, zn424, yc5509, yc5509, jh7964, ky2260, caj9849, bz1185, aa10127, jw7345, zn424, tn2137, jac32, rz2428, hg1593, ht2293, hz2287, vps4033, yp2489, ll5008, yz9639, ql13, lz1906, bmk11, cg4123, cg4123, jh7964, zs2439, yw6167, yd2400, xh2126, caj9849, rk4385, tal9565, jn2579, rkg2054, mi2230, mi2230, sys8925, caj9849, jm9901, jm9901, jm9901, cl6380, al6200, yx2552, yx2552, yx2552, tid2005, ht2293, jh7956, jls9966, sw4460, aa9217, aa9217, caj9849, yw6167, tz2310, ky2260, rk4385, as14902, jl13144, ht2293, js12575, xl4577, wr646, yh4652, caj9849, caj9849, yz74, jw7353, xl3138, zt2176, cg4123, cg4123, tl3315, yw6167, sys8925, ht2293, st115, xl3138, ch4379, by2243, rf2457, jls9966, jl13144, vl2117, dw3002, zn424, xl3136, tz2310, jd4290, rz2428, mz1737, cg4123, jac32, hl4745, hl4745, hl4745, hy2253, tn2137, yp2489, mrk5, caj9849, yl70, yw6167, yl70, zw2375, cy2180, yz74, bmk11, dm5350, sys8925, eh2971, xl3138, caj9849, jm9901, jm9901, hg1593, tid2005, ql15, jl12619, vn2111, xl3138, jl13144, ww1559, ww1559, jac32, rf2457, jt2689, jh7964, up2032, sw135, xl4577, jn2579, jh7964, sys8925, bmk11, cl6380, yw6907, ij498, ij498, caj9849, jh7964, tl3315, tl3315, yc6102, aa10127, aaf9352, xw2399, iil2, iil2, xw20, xw20, kq2017, up2032, jh7964, jac32, sys8925, yp2489, jl12346, sx2273, yw44, ht2293, ew2439, xw2399, aw3699, gk2297, sp7078, zn424, zs2389, jx2437, hl2885, mx2121, yc4300, jac32, rk4385, gk2297, sys8925, qy646, yp2489, yp2489, tid2005, ht2293, pz2125, gk2297, mx2121, sys8925, qy894, wjg3, gk2297, ht2293, mx2121, bg497, zw1746, jrj6, sys8925, rl4789, rl4789, wjg3, yz6197, rc156, yc4036, rc156, jrj6, jrj6, jrj6, yj12, jrj6, wyc344, yw6949, mx2121, rc156, yz74, mx2121, gcc9334, xw2399, hg1593, ozc204, ozc204, sys8925, hw2677, ht2293, ay2379, ql13, mx2121, jl12346, anw248, yl9326, zz4355, tj49, tj49, kh3619, up2032, ps4307, zz4355, nb3480, kh3619, jz4061, yl10541, mx2121, yq2196, cy2180, yp2489, tn2137, svj2008, svj2008, fy6, xw2399, xh2117, jl12619, eld9958, yq2196, cy2180, xz33, sf3601, smt9598, zl4242, wd2147, rf2457, gl2587, yq2196, rz2428, ee2225, jx2325, jx2325, ub2041, caj9849, tz2310, sys8925, zn424, sbk8041, yz6197, rw3040, rw3040, rq2039, yf2148, jl14064, zz4355, jl13144, lz2696, wq3, wq3, lm4833, pc3138, hp1397, jm9901, qw940, hp1397, wc1133, rf2457, cl4697, hz2287, ttl9317, tc3532, qw940, yh4652, rz2428, rz2428, rk3969, rk3969, yy4127, caj9849, zq2112, ew2439, fjc9392, mj2734, yl10960, yz6176, xw2399, dz1460, bc3088, zx1366, tz2310, yy4500, bc3371, ww2347, jl14064, jm9901, xl3673, jd4290, tal9565, vl2117, nb3480, yy4104, eld9958, pc3138, ra3563, hl4745, jz4061, nb3480, nb3480, bmk11, yw4549, fq2039, zn424, sys8925, hz2287, tid2005, yl10541, yh4652, dm5350, bc3371, zy2720, jl14064, pc3138, zz4355, lx2154, jsq2003, nb3480, rz2588, lx3, sys8925, caj9849, bc1768, bc3371, zn424, crj7458, xw2399, rz2428, bc3371, bc3371, jl10902, lz2698, djh9970, nb3480, jl14064, sj3802, bc3371, ymh9073, tid2005, yz8297, up2032, yk2858, xw2399, yc4300, jx2325, nb3480, nb3480, sys8925, tid2005, tid2005, bc3371, dc150, rk3969, bc3371, tz2310, yc5697, yc5697, hg1593, yl6999, wc1133, wc1133, jg7569, jg7569, yy4500, bc3371, xw2399, jx2325, aaf9352, lx2154, mx2122, jl14064, nb3480, nb3480, cd3371, bc3088, bc3088, zz4355, bc3088, yl9326, yy4107, up2032, yx2782, ql15, sw135, lg3514, nb3480, jsk16, jsk16, yl9326, eld9958, wz746, ml7183, pc3138, pc3138, wz746, wz746, pz2125, lx3, yk2858, yp2489, cy2180, aaf9352, sx2273, jl14087, yz8297, rg4012, nb3480, xf732, bc3371, sg7042, pc3138, hc76, hc76, yz9323, qz2376, caj9849, jm9901, bc3371, yz9323, lx3, dm5350, dm5350, yh4652, jg7569, sf3601, yh4652, bc1768, yb943, tid2005, nb3480, vl2117, rf2457, yl9326, dw3002, nb3480, wt2148, hz2287, pc3138, pz2125, cy2180, ssg9769, ssg9769, nb3480, yc4300, ssg9769, ssg9769, zx1366, cqs9996, cqs9996, yy4500, qz2376, bc3088, cy1503, ff2206, ff2206, ew2439, nb3480, aey2009, mw5318, mw5318, tz2310, bt1338, yl9326, yp2489, zl5055, mrk5, sj3802, cx2118, sys8925, al6200, zl34, qz2376, nb3480, nb3480, mj2734, yz8297, tz2310, cy2180, nb3480, nb3480, rl4800, jw7345, sys8925, zn424, ff2206, sys8925, mx2122, sjw10033, ff2206, xf732, zn424"
Computer,"yz8212, yz8212, dw2326, lg3514, sw135, zz2761, yy2827, xl21, fl51, lg3514, lg3514, yz45, yz45, tz8, tz8, dh128, dp949, dp949, dp949, dp949, dp949, zl39, sd140, jg5611, yz74, yh2984, yz74, jm5518, jm5518, jm5518, jm5518, tz11, yz55, sd140, ry13, yz74, yz74, xw20, xh2126, yz74, ch4379, xl3136, hl4745, yz74, ql15, sw135, xw20, xw20, aw3699, gk2297, gk2297, gk2297, gk2297, yz74, yz74, wq3, wq3, tc3532, yz6176, bc3088, bc3088, zx1366, hl4745, lx3, bc1768, xg4, ymh9073, xg4, xg4, mx2122, bc3088, bc3088, ql15, ql15, ql15, sw135, lg3514, xw20, lx3, xw20, lx3, bc1768, zx1366, bc3088, zl5055, mx2122"
PPT Clicker,"xh10, cp3570, rc4332, ch4379, cs5069, tc3532, tc3532, tc3532, tc3532, mrk5, cs5069, mrk5, dh128, sz65, sz65, mrk5, mrk5, rt1130, rt1130, rt1130, rt1130, rt1130, rt1130, cs5069, yh2984, yh2984, sh2995, sh2995, sh2995, sh2995, sh2995, yh2984, zz25, zz25, wq3, jb8307, jb8307, hm91, mrk5, mrk5, qz775, qz775, bt1338, mrk5, cs5069, al7488, mrk5, al7488, hy2253, mrk5, cp3570, ww1559, ww1559, ww1559, sw135, cs5069, sw135, sw135, bw2455, bw2455, mrk5, mrk5, hk1011, mrk5, mrk5, mrk5, cs5069, mrk5, mrk5, hk1011, pw58, jrj6, wq3, ky2390, bw2455, bw2455, mrk5, zz4330, mrk5, jc11815, jz5755, jz5755, mrk5, mrk5, jrj6, cs5069, cp3570"
