Unique Users,User Type,Cycles
pw58,Staff,21
cx2054,Student,4
ywh250,Others,1
ls4005,Staff,4
yh2984,Staff,79
jx2395,Others,3
yc71,Staff,3
yz8212,Staff,4
ys68,Staff,9
xh10,Staff,1
yl63,Staff,4
cyw353,Student,1
cp3570,Staff,5
jl12385,Staff,6
sa4913,Others,4
kz22,Staff,8
xj497,Student,1
rc4332,Student,10
zm800,Others,2
pw1101,IT,2
js12090,Staff,2
py12,Staff,1
xh2367,Others,2
ql13,Staff,6
sh177,Others,10
sz65,Staff,14
yz5826,Staff,20
ts98,Staff,2
cz16,Staff,2
dw2326,Others,4
yb958,Staff,7
saw12,Faculty,11
mz69,Staff,13
my38,Staff,3
wq3,Staff,86
oj2019,Student,10
jl11280,Others,1
dh128,Staff,44
my31,Staff,8
jz71,Staff,4
sw135,Staff,18
yw44,Staff,5
lg3514,Staff,10
kd2474,Student,2
ss9545,Staff,15
rz25,Faculty,1
iss6517,Student,2
aw3699,Others,4
zl34,Staff,11
nx224,Faculty,7
hz808,Student,2
xw20,Staff,18
sl163,Staff,10
zz2761,Staff,17
jg149,Staff,5
yy2827,Staff,3
lf74,Staff,6
km5654,Faculty,15
vn2111,Faculty,4
ys4965,Student,11
rw3007,Student,36
nw2142,Student,3
jrj6,Faculty,30
yw6412,Others,32
xw32,Staff,4
yz7242,Student,5
jz3818,Others,1
ch1419,IT,6
yz8556,Faculty,8
rc156,Staff,32
jl9546,Others,1
czo204,Others,2
yl5582,Others,1
ys4451,Student,3
yc5496,Student,2
jc8572,Others,17
qw2208,Student,2
jl12045,Student,34
xy11,Staff,22
cw3613,Student,1
yl5662,Others,1
mj96,Faculty,1
bl3406,Others,27
kl3723,Student,1
yj2176,Student,1
lx2071,Faculty,16
yl9326,Student,13
ty2123,Student,9
jx2325,Student,5
ww2347,Student,10
sl9464,Faculty,42
yz5160,Student,2
yjl464,Others,12
sl168,Staff,1
jz4788,Faculty,12
zl4256,Student,8
sd165,Staff,2
wz2266,Staff,50
hw2934,Student,1
sy3112,Student,1
djw8543,Faculty,1
sl6964,Others,2
zz25,Staff,6
al7488,Student,8
ms11858,Student,1
iro5182,Others,1
jy45,Staff,5
sw4460,Staff,15
mj2456,Student,1
avd8845,Student,18
sl9805,Others,2
jx2138,Student,3
ras622,Staff,7
yl7301,Student,3
rl3546,Others,2
lc4564,Student,5
ly2131,Student,1
zy2201,Student,1
mjm639,Faculty,20
jw7353,Student,8
tbk7911,IT,1
rc3412,Faculty,1
hm91,Staff,8
cw94,Staff,2
mm6059,Others,2
xz33,Faculty,18
wd2147,Student,4
zl3660,Student,5
bn628,Others,1
yy3646,Student,2
yh4368,Others,6
bc3088,Student,13
sbk8041,Student,4
ba1484,Student,1
wk2199,Student,3
wmd247,Student,2
pz2125,Student,6
jl12067,Student,9
ec1838,Faculty,3
xhw202,Student,1
tz2310,Student,10
zz3851,Student,2
dpc8,Faculty,4
sc8487,Student,4
ll3365,Staff,17
yh3733,Student,1
zz3844,Student,1
mx669,Student,4
jm3499,Faculty,28
mz3252,Student,3
yc44,Staff,7
sy3414,Student,1
rz2428,Student,9
jl9642,Others,9
kt1930,Others,1
cc6790,Student,4
ch4379,Others,11
sl6895,Others,29
sx2072,Student,3
cl6376,Student,9
yh3456,Staff,1
yk2487,Student,2
gh2267,Faculty,1
yy4105,Student,2
yy3685,Student,1
mz1687,IT,4
